Type,Trans Date,Post Date,Description,Amount
SALE,08/15/2015,08/17/2015,"STATIONNEMENT TREMBLANT",-4.61
SALE,10/27/2015,10/29/2015,"CCI MITRE CORP",-1.93
SALE,08/22/2015,08/23/2015,"DOWNTOWN WINE & SPIRITS",-40.48
SALE,10/25/2015,10/27/2015,"PORTHOLE RESTAURANT AN",-32.00
SALE,10/26/2015,10/28/2015,"CCI MITRE CORP",-1.93
SALE,09/03/2015,09/06/2015,"CCI MITRE CORP",-6.90
SALE,10/16/2015,10/18/2015,"TITAN GAS STATION",-27.05
SALE,10/01/2015,10/04/2015,"CCI MITRE CORP",-1.93
SALE,09/12/2015,09/13/2015,"WPY*Support for Jerrod",-50.00
SALE,08/17/2015,08/18/2015,"STATIONNEMENT TREMBLANT",-4.60
SALE,11/07/2015,11/09/2015,"TAIPEI TOKYO CAFE SOMERVI",-16.75
SALE,09/29/2015,10/04/2015,"CCI MITRE CORP",-2.78
SALE,11/02/2015,11/04/2015,"CCI MITRE CORP",-5.89
SALE,08/14/2015,08/16/2015,"TIM HORTONS 4427 QTH",-1.34
SALE,10/30/2015,11/01/2015,"MICHAELS STORES 5066",-19.09
SALE,09/16/2015,09/17/2015,"PRECHECK #1050",-85.00
SALE,10/06/2015,10/08/2015,"UNITED      0162926466746",-200.00
SALE,10/28/2015,10/30/2015,"WEGMANS BURLINGTON #59",-26.52
SALE,09/18/2015,09/20/2015,"PANERA BREAD #4842",-9.59
SALE,10/23/2015,10/25/2015,"CCI MITRE CORP",-1.93
SALE,10/31/2015,11/01/2015,"DOWNTOWN WINE & SPIRITS",-13.75
SALE,09/03/2015,09/06/2015,"OLYMPIA SPORTS #058",-19.13
SALE,09/24/2015,09/27/2015,"EXPRESS#0899",-117.90
SALE,10/15/2015,10/16/2015,"DOWNTOWN WINE & SPIRITS",-18.50
SALE,09/26/2015,09/28/2015,"STORYVILLE/MINI BAR",-11.70
SALE,11/03/2015,11/04/2015,"RITE AID STORE - 10162",-11.97
SALE,10/30/2015,11/01/2015,"PANERA BREAD #3543",-11.64
SALE,10/01/2015,10/04/2015,"MARKET@WORK 2067379149",-3.54
SALE,09/16/2015,09/18/2015,"HOLIDAY INN EXPRESS",-143.77
SALE,10/12/2015,10/14/2015,"CCI MITRE CORP",-1.93
SALE,09/04/2015,09/06/2015,"STARBUCKS-AMER10321537",-3.10
SALE,10/03/2015,10/04/2015,"STOP & SHOP 2411",-10.07
SALE,10/28/2015,10/30/2015,"THE BOSTON LANGUAGE INSTI",-339.00
SALE,11/01/2015,11/02/2015,"FAMILY DOLLAR #2718",-14.03
SALE,09/29/2015,09/30/2015,"USPS 24007101428808970",-5.33
SALE,09/13/2015,09/14/2015,"#07563 STAR MARKET",-93.36
SALE,10/13/2015,10/15/2015,"MARKET@WORK 2067379149",-2.50
SALE,10/31/2015,11/01/2015,"MICHAELS STORES 1597",-24.20
SALE,09/16/2015,09/17/2015,"HUDSONNEWS  ST861",-5.67
SALE,09/21/2015,09/23/2015,"DOWNTOWN WINE & SPIRITS",-15.00
SALE,09/26/2015,09/27/2015,"DOWNTOWN WINE & SPIRITS",-20.25
SALE,10/16/2015,10/18/2015,"CCI MITRE CORP",-7.12
SALE,08/14/2015,08/16/2015,"STATIONNEMENT TREMBLANT",-6.92
SALE,08/18/2015,08/20/2015,"CCI MITRE CORP",-3.64
SALE,08/16/2015,08/17/2015,"MICRO BRASSERIE DE LA DIA",-17.67
SALE,11/06/2015,11/08/2015,"CCI MITRE CORP",-5.89
SALE,10/25/2015,10/26/2015,"#07563 STAR MARKET",-75.12
SALE,10/19/2015,10/20/2015,"AIRBNB INC",-118.00
SALE,08/19/2015,08/21/2015,"CCI MITRE CORP",-1.71
